razon_social,propietario,nombre_planta,operador,direccion,localidad,departamento,provincia,geojson,geom
YPF GAS S.A.,30515488479,MAR DEL PLATA,TOTAL ESPECIALIDADES ARGENTINA S.A.|YPF GAS S.A.|,MAGNASCO DR OSVALDO N/KM 1972 Y AV. 39,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-57.60048,-38.02266]}",0101000020E610000077F35487DCCC4CC0B476DB85E60243C0
YPF GAS S.A.,30515488479,PILAR,TOTAL ESPECIALIDADES ARGENTINA S.A.|YPF GAS S.A.|,RUTA PROVINCIAL Nº 25 N/KM 7,PILAR,PILAR,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-58.87502,-34.52586]}",0101000020E610000047ACC5A700704DC0252367614F4341C0
YPF GAS S.A.,30515488479,TRENQUE LAUQUEN,YPF GAS S.A.|,RUTA NACIONAL Nº 33 N/KM 320,TRENQUE LAUQUEN,TRENQUE LAUQUEN,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-62.74585,-36.01979]}",0101000020E61000005DDC4603785F4FC0D8648D7A880242C0
YPF GAS S.A.,30515488479,CORDOBA,CAÑUELAS GAS S.A.|YPF GAS S.A.|,RUTA PROVINCIAL 19 N/KM 23,MONTE CRISTO,RIO PRIMERO,CÓRDOBA,"{""type"":""Point"",""coordinates"":[-63.96743,-31.35016]}",0101000020E6100000AB9509BFD4FB4FC00B5EF415A4593FC0
YPF GAS S.A.,30515488479,CONCEPCION ,TOTAL ESPECIALIDADES ARGENTINA S.A.|YPF GAS S.A.|,RUTA NACIONAL 14 N/KM 125,CONCEPCION DEL URUGUAY,URUGUAY,ENTRE RIOS,"{""type"":""Point"",""coordinates"":[-58.30891,-32.48943]}",0101000020E610000024B4E55C8A274DC034D769A4A53E40C0
YPF GAS S.A.,30515488479,PARANA,TOTAL ESPECIALIDADES ARGENTINA S.A.|YPF GAS S.A.|,RUTA PROVINCIAL Nº 18 N/KM 10,PARANA,PARANA,ENTRE RIOS,"{""type"":""Point"",""coordinates"":[-60.45265,-31.76266]}",0101000020E61000006744696FF0394EC0A5F78DAF3DC33FC0
YPF GAS S.A.,30515488479,SAN RAFAEL,YPF GAS S.A.|,TIRASSO LUIS N/KM 5601,SAN RAFAEL,SAN RAFAEL,MENDOZA,"{""type"":""Point"",""coordinates"":[-68.29414,-34.57178]}",0101000020E6100000821C9430D31251C0E1404816304941C0
YPF GAS S.A.,30515488479,CENTENARIO,TOTAL ESPECIALIDADES ARGENTINA S.A.|YPF GAS S.A.|,RUTA PROVINCIAL 7 N/KM 3,CENTENARIO,CONFLUENCIA,NEUQUÉN,"{""type"":""Point"",""coordinates"":[-68.09263,-38.90787]}",0101000020E6100000392861A6ED0551C080828B15357443C0
YPF GAS S.A.,30515488479,JUNIN DE LOS ANDES,YPF GAS S.A.|,9 DE JULIO N/KM 1085 Y RUTA NACIONAL Nº 40,JUNIN DE LOS ANDES,HUILICHES,NEUQUÉN,"{""type"":""Point"",""coordinates"":[-71.07017,-39.93612]}",0101000020E610000043CA4FAA7DC451C0D690B8C7D2F743C0
YPF GAS S.A.,30515488479,RAFAELA,YPF GAS S.A.|,RUTA PROVINCIAL Nº 34 N/KM 229,RAFAELA,CASTELLANOS,SANTA FE,"{""type"":""Point"",""coordinates"":[-61.48904,-31.18412]}",0101000020E6100000CA37DBDC98BE4EC01E8A027D222F3FC0
